类别,周期,日期,房产类型,套数,面积㎡
一手房 预售成交 当日,当日,2026年6月7日,商业,8,396.8
一手房 预售成交 当日,当日,2026年6月7日,住宅,247,28734.26
一手房 预售成交 当日,当日,2026年6月7日,办公,6,858.67
一手房 预售成交 当日,当日,2026年6月7日,其他,0,0.0
一手房 预售成交 当日,当日,2026年6月7日,小计,261,29989.73
一手房 现售成交 当日,当日,2026年6月7日,商业,2,102.03
一手房 现售成交 当日,当日,2026年6月7日,住宅,34,4393.59
一手房 现售成交 当日,当日,2026年6月7日,办公,0,0.0
一手房 现售成交 当日,当日,2026年6月7日,其他,0,0.0
一手房 现售成交 当日,当日,2026年6月7日,小计,36,4495.62
一手房 新批准预售 当日,当日,2026年6月7日,90平方米以下,12,1010.1
一手房 新批准预售 当日,当日,2026年6月7日,90~144平方米,13,1419.04
一手房 新批准预售 当日,当日,2026年6月7日,144平方米以上,9,1964.45
一手房 新批准预售 当日,当日,2026年6月7日,小计,34,4393.59
一手房 预售成交 当月,当月,2026年5月,商业,160,9200.33
一手房 预售成交 当月,当月,2026年5月,住宅,2819,317257.01
一手房 预售成交 当月,当月,2026年5月,办公,18,2793.86
一手房 预售成交 当月,当月,2026年5月,其他,27,24613.73
一手房 预售成交 当月,当月,2026年5月,小计,3024,353864.93
一手房 新批准预售 当月,当月,2026年5月,90平方米以下,1075,89565.37
一手房 新批准预售 当月,当月,2026年5月,90~144平方米,1450,164094.32
一手房 新批准预售 当月,当月,2026年5月,144平方米以上,294,63597.32
一手房 新批准预售 当月,当月,2026年5月,小计,2819,317257.01
二手房 成交 当日,当日,2026年6月7日,商业,5,209.11
二手房 成交 当日,当日,2026年6月7日,住宅,50,4580.4
二手房 成交 当日,当日,2026年6月7日,办公,0,0.0
二手房 成交 当日,当日,2026年6月7日,其他,2,59.04
二手房 成交 当日,当日,2026年6月7日,小计,57,4848.55
二手房 成交 当月,当月,2026年5月,商业,629,48450.48
二手房 成交 当月,当月,2026年5月,住宅,5534,546042.5
二手房 成交 当月,当月,2026年5月,办公,177,17734.36
二手房 成交 当月,当月,2026年5月,其他,357,22201.48
二手房 成交 当月,当月,2026年5月,小计,6697,634428.9
